"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22100","0","0","0","2551.2","0","1649.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22200","0","0","0","2480.15","0","1618.4","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22300","0","0","0","2409.25","0","1587.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22400","0","0","0","2340.55","0","1556.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22500","0","0","0","2273.05","0","1526.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26500","0","0","0","2856.15","0","677.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26600","0","0","0","2776.9","0","663.4","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26700","0","0","0","2698.7","0","649.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26800","0","0","0","2621.55","0","636","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26900","0","0","0","2545.5","0","622.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27000","0","0","0","2470.55","0","609.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27100","0","0","0","2397.7","0","596.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27200","0","0","0","2324.9","0","584.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27300","0","0","0","2253.25","0","572.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27400","0","0","0","2181.75","0","560","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27500","0","0","0","2112.65","0","548.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27600","0","0","0","2044.8","0","536.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27700","0","0","0","1978.2","0","525.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27800","0","0","0","1912.9","0","514.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","27900","0","0","0","1848.85","0","503.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28000","0","0","0","1786.1","0","492.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28100","0","0","0","1724.65","0","482.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28200","0","0","0","1664.5","0","471.95","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28300","0","0","0","1605.65","0","461.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28400","0","0","0","1548.15","0","452.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28500","0","0","0","1492","0","442.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28600","0","0","0","1437.15","0","433","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28700","0","0","0","1383.65","0","423.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28800","0","0","0","1331.45","0","414.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","28900","0","0","0","1280.6","0","405.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25300","0","0","0","2931.45","0","870","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25400","0","0","0","2848.35","0","852.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25500","0","0","0","2766.2","0","834.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25600","0","0","0","2685.1","0","817.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25700","0","0","0","2605.05","0","800.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25800","0","0","0","3437","0","784.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","25900","0","0","0","3351.4","0","768.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26000","0","0","0","3266.65","0","752.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26100","0","0","0","3182.7","0","736.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26200","0","0","0","3099.65","0","721.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26300","0","0","0","3017.55","0","706.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","26400","0","0","0","2936.35","0","691.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","13900","0","0","0","3609.3","0","6417.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14000","0","0","0","3535.85","0","6332.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14100","0","0","0","3463.25","0","6248.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14200","0","0","0","3391.55","0","6164.4","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14300","0","0","0","3320.8","0","6081.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14400","0","0","0","3250.9","0","5998.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14500","0","0","0","3182","0","5916.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14600","0","0","0","3114","0","5835.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14700","0","0","0","3046.9","0","5754.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14800","0","0","0","2980.8","0","5674.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","14900","0","0","0","2914.95","0","5595","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15000","0","0","0","2850.8","0","5516.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15100","0","0","0","2787.6","0","5437.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15200","0","0","0","2725.35","0","5360.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15300","0","0","0","2664.05","0","5283.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15400","0","0","0","2603.7","0","5206.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15500","0","0","0","2544.35","0","5131.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15600","0","0","0","2485.9","0","5056","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15700","0","0","0","2428.45","0","4981.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15800","0","0","0","2371.95","0","4907.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","15900","0","0","0","2316.4","0","4834.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16000","0","0","0","2261.75","0","4762.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16100","0","0","0","2208.1","0","4690.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16200","0","0","0","2155.4","0","4619.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16300","0","0","0","2103.6","0","4549.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29000","0","0","0","1231","0","397.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29100","0","0","0","1182.8","0","388.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29200","0","0","0","1135.95","0","380.25","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29300","0","0","0","1090.4","0","372.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29400","0","0","0","1046.15","0","364.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29500","0","0","0","1003.2","0","356.25","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29600","0","0","0","961.5","0","348.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29700","0","0","0","921.1","0","341.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29800","0","0","0","881.95","0","333.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","29900","0","0","0","844","0","326.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30000","0","0","0","807.3","0","319.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30100","0","0","0","771.85","0","312.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30200","0","0","0","737.55","0","305.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30300","0","0","0","704.4","0","299.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30400","0","0","0","672.4","0","292.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30500","0","0","0","641.55","0","286.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30600","0","0","0","611.85","0","280.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30700","0","0","0","583.15","0","274","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30800","0","0","0","555.6","0","268.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","30900","0","0","0","529.05","0","262.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31000","0","0","0","504.75","0","256.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31100","0","0","0","480.35","0","250.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31200","0","0","0","456.95","0","245.4","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31300","0","0","0","434.45","0","240.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31400","0","0","0","411.65","0","234.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31500","0","0","0","390.85","0","229.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31600","0","0","0","370.9","0","224.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16400","0","0","0","2052.75","0","4480","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16500","0","0","0","2002.8","0","4411.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16600","0","0","0","1953.8","0","4342.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16700","0","0","0","1905.75","0","4275.4","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16800","0","0","0","1858.55","0","4208.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","16900","0","0","0","1812.3","0","4142.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17000","0","0","0","1766.95","0","4077.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17100","0","0","0","4006.15","0","4012.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17200","0","0","0","3939.6","0","3948.55","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17300","0","0","0","3873.7","0","3885.3","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17400","0","0","0","3808.6","0","3822.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17500","0","0","0","3743.45","0","3760.95","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17600","0","0","0","3935.85","0","3699.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17700","0","0","0","3868","0","3639.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17800","0","0","0","3800.9","0","3579.8","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","17900","0","0","0","3734.55","0","3520.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18000","0","0","0","3669","0","3462.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18100","0","0","0","3603.35","0","3405.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18200","0","0","0","3539.4","0","3348.25","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18300","0","0","0","3476.2","0","3292.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18400","0","0","0","3413.75","0","3236.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18500","0","0","0","3352.1","0","3182","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18600","0","0","0","3291.2","0","3127.95","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18700","0","0","0","3231.05","0","3074.65","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18800","0","0","0","3171.7","0","3022.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","18900","0","0","0","3113.15","0","2970.1","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","19000","0","0","0","3055.3","0","2918.9","0","0","0","0","0","19969"
